№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
3072,3841 ТР от 08.12.15 г. до 31.12.15 г. №01320,"Участок ""Васильевское",ИП Иванникову Николаю Владимировичу,"Чуйская   обл., Аламудунский р-н",№2 от 27.05.15 г. до 31.12.15 г., ПГС,Р,15 га,К-43-30,протокол переговоров №07Н-15 от 08.01.15 г.,"Чуйская обл. Аламудунский   р-н,           Иванников Николай Владимирович              с.Васильевка",гр.КР  Иванников Николай Владимирович,,,,Перв.РОК       1290045030000212 кв.100300015  от 10.01.15   ,ИНН 22201195710068. ,13465932. 13466148. 13466009. 13465739. 13465718. 13465837. 13466038. 13466080. 13465949. 13465782. 13465663. 13465687. 13465750. 13465780,4775889. 4775662. 4775536. 4775408. 4775094. 4775044. 4775136. 4775037. 4774999. 4775016. 4775096. 4775433. 4775488. 4775768.,Кыргызстан,Аннулирована.протокол №469-Н-15 от 29.07.15,,,,,,,,,,,
3073,3842 ТР от 08.01.15г. до 31.12.16г. №01321,"Участок ""Грозд -5""","ОсОО ""Титан"".","Чуйская обл., Аламудунский р-н",№2 от 06.05.15г. До 31.12.16 г., ПГС,Р,33.6 га,К-43-30,протокол переговоров №08-Н-15 от 08.01.15,  Чуйская обл. Аламудунский  р-н . с Лебединовка   ул. Пионерская   д.37,гр.КР  Абжалбеков Н.Д. -40%     Исмаилов А.У. 60%                                                                                                                                                                                                                                                                                                               ,,,,Перв.РОК       1299235030000212 кв.53900015  от 09.01.15   ,ИНН 02801200810253,"13472753, 13472881, 13472831, 13472735, 13472686, 13472616, 13472538, 13472250, 13472123, 13472123, 13472129, 13472190, 13472250, 13472346, 13472377, 13472409, 13472462, 13472635, 13472711","4767819, 4767844 4767944 4768112 4768249 4768395 4768545 4768737 4768630 4768483 4768399 4768253 4768218 4768197 4768080 4768002 4767939 4767863 4767793",Кыргызстан,Аннулирована.Протокол №599-Н-15 от 16.10.2015г.,,,,,,,,,,,
3074,3843 ТР от 09.01.15г. до 31.12.15г. №01319,Мраморная,ИП Токтосунов А.,"Чуйская обл., Аламудунский р-н",№1 от 09.01.15г. До 31.12.15 г., ПГС,Р,15 га,К-43-30,протокол переговоров №07-Н-15 от 08.01.15г ,  Чуйская обл. Аламудунский  р-н . С.Кок-Жар                  ,гр.КР  Токтосунов А. -100%                                                                                                                                                                                                                                                                                                                   ,,,,Перв.РОК       1299235030000211 кв.53900015  от 09.01.15   ,ИНН 21111195600683,"13463840. 13463980, 13464010, 13463874","4770483, 4770500, 4770237, 4770079",Кыргызстан,Аннулирована.протокол № 7-Н-19 от 13.03.2019 г.,,,,,,,,,,,
3075,3844 ТР от 10.01.15г. до 10.01.17г. №01362,"Участок ""Уч-Темир""","ЧП ""Кадыров Б.А.""","Баткенская обл., Лейлекский р-н",№2 от 09.10.15г. До 10.01.17г., суглинок,Р,6.0 га,J-42-8,протокол переговоров №10-Н-15 от 10.01.14,"Баткенская обл., Лейлекский р-н c.Чимген  Кадыров Б.А. ","гр.КР Кадыров Б.А. - 100%,                                                                                                                                                                                                                                                                                       ",,,,Перв.РОК       1299235030000157 кв.100200016  от 22.01.15,ИНН 22708198700403,12547384. 12547623. 12547789. 12547570. ,4408269. 4408388. 4408258. 4408094. ,Кыргызстан,Аннулирована.Протокол №183а-Н-16 от 20.04.16г.,,,,,,,,,,,
3076,3845 СР от 12.01.15 г. до 31.12.20 г. Бланк №002000,Северный фланг углепроявления Донуз,"ОсОО ""Бурана Плюс""","Нарынская область, Джумгальский р-н",№ 6 от 24.03.20г. до 31.12.20 г., уголь,Р,"133,87 га",К-43-78,Протокол переговоров №45-Н-19 от 27.12.19г.,"  г. Бишкек, ул. Чуй, 245/1, офис 3",гр. КР Иманалиев Азат абылдиевич - 100%,,,,РСК банк 1290525030000580 кв 89800490 от 28.02.19 г.,ИНН 01208201110094,4617965  4619126  4618981  4618608  4618580,13470818  13470826  13473091  13473373  13471570,Кыргызстан,Аннулирована.протокол №10-Н-2021 от 10.05.2021,,,,,,,,,,,
3077,3847 СР от 12.01.15 г. до 12.01.18 г. №01280,"Участок ""Джунусай""","ЧП ""Ибрагимов А.Ж.""","Баткенская обл., Лейлекский р-н",№1 от 12.01.15г. До 12.01.18г., уголь,Р,13.29  га,J-42-8,протокол переговоров №13-Н-15 от 12.01.15 г.,  Баткенская обл. Лейлекский р-н с.Булак-Башы Ибрагимов А.Ж.,гр.КР Ибрагимов А.Ж.                                                                                                                                                                                                                                                                                                         ,,,,Перв.РОК       1290535030000160 кв.60600089  от 23.01.15 г.  ,ИНН 22502197600037,"4425990, 4425685, 4425445, 4425695, 4425865","12545620, 12545755, 12545420, 12545325, 12545395",Кыргызстан,Аннулирована.протокол №51-Н-18 от 24.01.18,,,,,,,,,,,
3078,3848 ВЕ пер. 12.01.15 г. от 19.08.2025г до 12.01.2028г. бланк № 000971,Скважина №8945 (17010 ) Центрально-Чуйского месторождения,"ОсОО ""Ак он иш""","Чуйская область, Московский р-н",№ 4 от 19.08.2025 г. до 12.01.28 г., ППВ,ЕР,70 м³/сут,К-43-41- В,Протокол переговоров №14-Н-15 от 12.01.15 г.   Протокол №32-Н-2025 от 09.07.2025г,"г. Бишкек, ул. Рыскулова 79 Б",гр. КР Примов Бердибай - 100%,1290055030000556  №217900093  18.06.2019г/ 02.04.2015г ,63545 сом/58141-36 сом ,,Перв. РОК 1299285030000128 кв 236400066 от 03.12.14 г.      ОАО Элдик Банк кв. № 245400021 от 05.12.2025г 1000с,ИНН 01002200410017,4737400,13429100,Кыргызстан,ВЕ,Эрматов Б,"0772-910555, 0700-155502",Асылбашский а/о,,В деле нет Бенеф.,,,,,,
3079,3849 ВЕ от 12.01.15 г. до 12.01.18 г. Бланк №01413,Скважина №9766 Чоктал-Ананьевского месторождения ,"ОсОО ""Мэргалай Травел""","Иссык-Кульская обл., Иссык-Кульский р-н",№ 1 от 12.01.15 г. до 12.01.18 г., ППВ,Е,нет,К-43-58,Протокол переговоров №15-Н-15 от 12.01.15 г.,"  г. Бишкек, ул. Тоголок Молдо 79, кв. 21","гр. КР Токтакунова Б.И. - 50%, Маматалиева М.К. - 50%",,,,Перв. РОК 1299235030000127 кв 235100128 от 08.01.15 г.,ИНН 00302200910116,4720750,13659100,Кыргызстан,Аннулирована.протокол №20-Н-19 от 15.05.19 г.,,,,,,,,,,,
3080,3850 ВЕ от 12.01.15г. до 12.01.18г. №01429,Скважина №9180 (17549-Д),ИП Туyганбаев Б.О.,"Таласская обл.,Таласский  р-н",№1 от 12.01.15г. до 12.01.18г., ППВ,Е,ППВ,К-43-49,протокол переговоров №16-Н-15 от 12.01.15 г.,"  г. Талас, ул. К. Каимова №1 Тyyганбаев Б.О.",гр.КР:Тyyганбаев Б.О.- 100%                                                                                                                                                                                                                                                                                                    ,,,,Перв.РОК       1299235030000111кв.236500124  от 30.01.15 г.   ,ИНН 20609196000334,4711600,13275650,Кыргызстан,Аннулирована.протокол №108-Н-18 от 05.03.18,,,,,,,,,,,
3081,3851 ТР от 12.01.15г. до 12.01.17г. №01356 срок продлен до 31.12.2018г. Бл. № 000730,"площадь ""Улук-Тоо""","ОсОО ""Кыргыз цемент""","Ошская обл., Ноокатский р-н",№3 от 27.04.17г. до 31.12.18г., известняк для цементного сырья,Р,104 га,К-43-121,протокол переговоров №17-Н-15 от 12.01.15 г.,г.Ош ул.Ленина б\н. ,гр.КР:Осмонов жапар - 100%                                                                                                                                                                                                                                                                                                    ,,,,Перв.РОК       1299235030000111кв.23236500020  от 15.01.15 г.   ,ИНН 02808201410132,13276480. 13277160. 13277960. 13278450. 13277560. 13277000. 13276420.,4475300. 4475260. 4476000. 4475280. 4475100. 4474700. 4474800.,Кыргызстан,Аннулирована.Протокол №12-Н-19 от 01.04.2019 г.,,,,,,,,,,,
3082,3852 ТЕ от 12.01.15 г. до 12.01.35 г. №01355,"Учачток Западный месторождения ""Белек""","ОсОО ""Шопоковский комбинат строительных материалов""","Чуйская обл., Сокулукский р-н",№ 5 от 15.10.18 г. до 12.01.35 г., суглинок,Е,"3,4 га",К-43-41,Протокол переговоров №18-Н-15 от 12.01.15 г.,"Чуйскаяобласть, Сокулукский р-н, с. Белек, участок Дон-Алыш","гр. КР  Мадазимов Р.М. - 30%, Сариев Т.А. - 30%, гр. КНР Чжай Чуайган - 40%",,,,Перв. РОК 1299235030000111 кв 539000124 от 15.01.15 г.,ИНН 02608201410035,13441430    13441619    13441582     13441533     13441478    13441420    13441410     13441455     ,4741490    4741597    4741354    4741346    4741325    4741341     4741419    4741430,Кыргызстан\КНР,ТЕ,,,,,,,,,,,
3083,3853 ТР от 12.01.15г. до 12.01.17 г. №01354,"Месторождение ""Белек-2""","ОсОО ""Шопоковский        комбинат строительных материалов""","Чуйская обл., Сокулукский р-н",№1 от 12.01.15г. До 12.01.17 г., суглинок,Р,12.13га,К-43-41,протокол переговоров №19-Н-15 от 12.01.15 г.,"Чуйскаяобл. Сокулукский р-н с.Белек ,  участок Дон-Алыш","гр.КР  Мадазимов Р.М.. - 30%,                                                                                                                                                                                                                                                                                                                              Сариев. Т.А -30%  гр.КНР Чжай Чуайган-40%",,,,Перв.РОК       1299235030000111 кв.539000126  от 15.01.15 г.   ,"ИНН 026082014110035, ","13441387, 13441414. 13441453, 13441177, 13441059, 13441177","4741514, 4741303, 4741049, 4741076, 4741076, 4741337, 4741434",Кыргызстан\КНР,Аннулирована.протокол №63а-Н-18 от 07.02.18,,,,,,,,,,,
3084,3854 ТЕ от 12.01.15 г. до 12.01.35 г. Бланк №01322,Месторождение Каракольское,ЧП Ходжаев З.К.,"Ошская область, Карасуйский район",№ 2 от 28.12.2020г до 12.01.2035г , ПГС,ЕП,"3,67 га",К-42-122,Протокол переговоров №20-Н-15 от 12.01.15г ЛС №2 протокол №32-Н-2020 от 02.12.2020г ,"Ошская область, Карасуйский р-н, c\у Толейкон, с. Толейкон",гр. КР Ходжаев З.К. - 100%,,,,Перв. РОК 1299235030000188 кв 5383400011 от 14.01.15 г.,ИНН 22201196300070,13312291 13312356  13312635  13312501 13312363,4484422  4484421  4484137  4484115  4484270,Кыргызстан,ТЕ,Ходжаев З.К.,0550-478710,,,В деле нет Бенеф.,,,,,,
3085,3855 СР от 13.01.15г. до 21.12.18 г. Бланк №000546,"Участок ""Кызыл-Утек"" месторождение Шураб","ОсОО ""Алихан""","Баткенская обл., Баткенский р-н",№ 3 от 23.03.17 г. до 21.12.18 г., уголь,Р,10 га,К-42-141,Протокол переговоров №21-Н-15 от 13.01.15 г.,"Баткенская обл.  Баткенский р-н с.Самаркандек , с. Паски-Арык Муратов А.А. 0779836493","гр. КР Муратов А.А. - 70%, Абдилла уулу Нургазы - 30% ",,,,Перв. РОК 1299235030000111 кв 100300068 от 13.01.15 г.   ,ИНН 01208200810012,4433597  4433663  4433504  4433401,12626231  12616740  12626812  12626226,Кыргызстан,Аннулирована.протокол №37-Н-19 от 25.09.19 г.,,,,,,,,,,,
3086,3856 СР от 14.01.15г. до 14.01.17 г. №01364,"Площадь ""Хожоата-Чаптарбээ""","ОсОО ""БННК""",Жалал-Абадская обл. Аксыйский р-н,№1 от 14.01.15г. До 14.01.17 г., уголь,Р,288.6га,"К-43-73, К-42-84",протокол переговоров №22-Н-15 от 14.01.15 г.,.Джалал-Абадская обл. Сузакский р-н с. Масадан ул.Нишанова 2  Касимов Ж.М,гр.КР  Касимов Ж.М. 100%                                                                                                                                                                                                                                                                                                           ,,,,Перв.РОК       1299235030000160 кв.79000330  от 15.01.15 г.   ,"ИНН 03009201410050, ","4623793, 4623679, 4623250. 4622966. 4623064. 4622732. 4623154. 4623633. 4622654. 4621331. 4623063. 4622729. 4621054. 4622670",13251912. 13252867. 13253961. 13253840. 13253498. 13253390. 13252336. 13252000. 13250451. 13251922. 13252459. 13253287. 13252014. 12749590,Кыргызстан,Аннулирована.Протокол №605-Н-16 от 9.12.16г.,,,,,,,,,,,
